# GCB2025 Land-Use Change Emissions,,,,,,,
year,model,Net,deforestation (total),forest regrowth (total),other transitions,peat drainage & peat fires,wood harvest & other forest management
1959,GCB,2.1134525,2.047925,-0.8238,0.439045,0.231126667,0.219155
1960,GCB,1.8302425,1.8411275,-0.8328625,0.4174475,0.179176667,0.225355
1961,GCB,1.8614975,1.8336175,-0.8360075,0.404385,0.22312,0.23638
1962,GCB,1.72781,1.7847175,-0.8394375,0.3867025,0.154353333,0.24147
1963,GCB,1.6815725,1.7562475,-0.8424625,0.3608475,0.16246,0.2444775
1964,GCB,1.599025,1.7121375,-0.845385,0.33027,0.1523,0.2497
1965,GCB,1.535235,1.6604075,-0.84893,0.3103,0.15999,0.2534675
1966,GCB,1.425445,1.6003825,-0.85248,0.2781475,0.14294,0.25645
1967,GCB,1.4740325,1.59468,-0.8515275,0.3120975,0.161056667,0.2577325
1968,GCB,1.45535,1.5890925,-0.852265,0.298185,0.157986667,0.2623525
1969,GCB,1.5927875,1.7390825,-0.855225,0.271795,0.170273333,0.266865
1970,GCB,1.5540675,1.6962725,-0.860275,0.2393225,0.207893333,0.2708575
1971,GCB,1.39686,1.6138975,-0.8586725,0.23352,0.13318,0.2749375
1972,GCB,1.4712225,1.6623975,-0.8617125,0.232425,0.161506667,0.2766025
1973,GCB,1.431245,1.6423675,-0.8632775,0.214315,0.159256667,0.278585
1974,GCB,1.4024025,1.6273975,-0.8582675,0.2041,0.147256667,0.2819125
1975,GCB,1.3808225,1.620685,-0.8604425,0.2040925,0.138063333,0.278425
1976,GCB,1.3876025,1.6039475,-0.8584725,0.188195,0.170613333,0.283325
1977,GCB,1.50485,1.6698825,-0.86046,0.2345275,0.17572,0.2851775
1978,GCB,1.4773625,1.644935,-0.861035,0.2319,0.173076667,0.2884925
1979,GCB,1.279135,1.5438775,-0.8658675,0.1856275,0.121966667,0.293535
1980,GCB,1.3557675,1.560555,-0.86511,0.17686,0.185916667,0.2975425
1981,GCB,1.318215,1.54934,-0.8663825,0.177615,0.160276667,0.297365
1982,GCB,1.2400925,1.5172625,-0.8679125,0.1512175,0.142863333,0.29666
1983,GCB,1.3059375,1.551835,-0.87058,0.1739225,0.155423333,0.295335
1984,GCB,1.53905,1.7011125,-0.86964,0.179245,0.22832,0.300015
1985,GCB,1.44404,1.615995,-0.8699675,0.171635,0.223606667,0.3027725
1986,GCB,1.50851,1.6814425,-0.87432,0.167865,0.23047,0.3030525
1987,GCB,1.45737,1.659925,-0.8807875,0.151095,0.217646667,0.309495
1988,GCB,1.411295,1.6210025,-0.8833825,0.1406,0.21851,0.314565
1989,GCB,1.351895,1.5717525,-0.8859225,0.1372875,0.20605,0.32272
1990,GCB,1.3582425,1.572625,-0.9028075,0.15221,0.204536667,0.3316775
1991,GCB,1.3564375,1.599,-0.916445,0.142025,0.18962,0.34224
1992,GCB,1.435045,1.659555,-0.9253225,0.135785,0.23222,0.33281
1993,GCB,1.357495,1.6725825,-0.93171,0.1179425,0.180136667,0.31854
1994,GCB,1.6073625,1.896415,-0.94397,0.0999675,0.251556667,0.30339
1995,GCB,1.4826425,1.8499625,-0.95804,0.0888175,0.208733333,0.293175
1996,GCB,1.6409775,1.8824375,-0.9584425,0.0849175,0.343713333,0.28834
1997,GCB,2.0214425,1.9266175,-0.968775,0.0494475,0.733063333,0.2810925
1998,GCB,1.6769825,2.0828125,-0.98514,0.055455,0.247673333,0.2761825
1999,GCB,1.63835,2.0566,-0.9929675,0.04212,0.25692,0.275675
2000,GCB,1.4457475,1.9555475,-1.0074575,0.0372,0.176516667,0.2839375
2001,GCB,1.3005575,1.8634875,-1.0211125,0.003575,0.17538,0.2792325
2002,GCB,1.399595,1.87036,-1.0381325,0.0323,0.251716667,0.2833525
2003,GCB,1.65821,2.114045,-1.0530625,0.0719875,0.23181,0.2934225
2004,GCB,1.4748875,1.9088425,-1.05897,0.0699825,0.253763333,0.3012675
2005,GCB,1.334875,1.8418675,-1.0712275,0.0466475,0.21697,0.300615
2006,GCB,1.45528,1.7805775,-1.0837125,0.05099,0.405143333,0.30229
2007,GCB,1.25398,1.78891,-1.0919375,0.0562825,0.192453333,0.3082725
2008,GCB,1.3319625,1.813715,-1.0949875,0.092925,0.212056667,0.30825
2009,GCB,1.439405,1.84303,-1.1068025,0.096905,0.310886667,0.2953875
2010,GCB,1.4977925,1.90308,-1.1381275,0.1671,0.264733333,0.3010125
2011,GCB,1.440575,1.8688775,-1.1423975,0.147715,0.259703333,0.30668
2012,GCB,1.5425475,1.916245,-1.144885,0.12677,0.32565,0.31877
2013,GCB,1.39633,1.8603625,-1.1512025,0.123145,0.258346667,0.305675
2014,GCB,1.47276,1.8768725,-1.16917,0.1281875,0.342606667,0.2942575
2015,GCB,1.5097125,1.84649,-1.177915,0.1099,0.45436,0.2768825
2016,GCB,1.20258,1.7985075,-1.18834,0.104495,0.22248,0.265435
2017,GCB,1.154755,1.800495,-1.1960525,0.0947675,0.19975,0.25579
2018,GCB,1.0493225,1.7129575,-1.1980375,0.05299,0.21432,0.2670925
2019,GCB,1.0335,1.66525,-1.2072375,0.051525,0.253033333,0.27093
2020,GCB,0.93859,1.651115,-1.2133825,0.0376375,0.189006667,0.274215
2021,GCB,0.969645,1.68636,-1.2131775,0.040235,0.174823333,0.2814075
2022,GCB,0.966446667,1.658835,-1.21298,0.038235,0.198096667,0.28426
2023,GCB,0.9893325,1.659935,-1.21987,0.0381575,0.22523,0.28588
1959,BLUE,2.94226,2.87182,-1.15416,0.49152,0.231126667,0.50195
1960,BLUE,2.4179,2.4187,-1.15221,0.45722,0.179176667,0.51501
1961,BLUE,2.44398,2.42354,-1.14715,0.40335,0.22312,0.54112
1962,BLUE,2.25004,2.30842,-1.14364,0.37671,0.154353333,0.5542
1963,BLUE,2.17773,2.25232,-1.13999,0.33979,0.16246,0.56315
1964,BLUE,2.0362,2.13194,-1.13626,0.3164,0.1523,0.57182
1965,BLUE,1.95433,2.06086,-1.1354,0.29178,0.15999,0.57711
1966,BLUE,1.80282,1.94555,-1.13013,0.26153,0.14294,0.58293
1967,BLUE,1.89157,1.9369,-1.12539,0.32956,0.161056667,0.58944
1968,BLUE,1.86999,1.91309,-1.11957,0.32189,0.157986667,0.59659
1969,BLUE,2.08332,2.16994,-1.10891,0.25069,0.170273333,0.60134
1970,BLUE,1.97734,2.0808,-1.11949,0.20023,0.207893333,0.60791
1971,BLUE,1.79864,1.97298,-1.11267,0.19256,0.13318,0.61259
1972,BLUE,1.97278,2.11829,-1.10627,0.18513,0.161506667,0.61412
1973,BLUE,1.88954,2.06096,-1.0982,0.15049,0.159256667,0.61704
1974,BLUE,1.82601,2.01716,-1.09041,0.13668,0.147256667,0.61532
1975,BLUE,1.78018,1.97577,-1.08359,0.14093,0.138063333,0.609
1976,BLUE,1.7586,1.93013,-1.07531,0.12153,0.170613333,0.61164
1977,BLUE,2.0136,2.10321,-1.06657,0.18984,0.17572,0.61139
1978,BLUE,1.96955,2.05842,-1.06261,0.18899,0.173076667,0.61167
1979,BLUE,1.65888,1.84395,-1.06306,0.14173,0.121966667,0.6143
1980,BLUE,1.76007,1.87839,-1.05635,0.13684,0.185916667,0.61527
1981,BLUE,1.71896,1.84075,-1.05316,0.15611,0.160276667,0.61498
1982,BLUE,1.57712,1.76189,-1.05198,0.11433,0.142863333,0.61001
1983,BLUE,1.69748,1.80844,-1.04523,0.16645,0.155423333,0.6124
1984,BLUE,2.02368,2.06332,-1.03859,0.15151,0.22832,0.61912
1985,BLUE,1.83244,1.89245,-1.03243,0.12874,0.223606667,0.62007
1986,BLUE,1.95933,2.00106,-1.02649,0.13168,0.23047,0.62261
1987,BLUE,1.82531,1.89341,-1.02458,0.11079,0.217646667,0.62806
1988,BLUE,1.73904,1.81754,-1.02755,0.09852,0.21851,0.63202
1989,BLUE,1.64851,1.72247,-1.02988,0.10957,0.20605,0.64029
1990,BLUE,1.61039,1.65831,-1.05587,0.15566,0.204536667,0.64775
1991,BLUE,1.53313,1.64672,-1.08128,0.13072,0.18962,0.64736
1992,BLUE,1.65958,1.7191,-1.08754,0.15595,0.23222,0.63986
1993,BLUE,1.55044,1.70119,-1.08954,0.13798,0.180136667,0.62067
1994,BLUE,1.89264,2.00798,-1.10316,0.1212,0.251556667,0.61505
1995,BLUE,1.73947,1.91503,-1.11861,0.13124,0.208733333,0.60308
1996,BLUE,1.89457,1.93964,-1.11271,0.12948,0.343713333,0.59444
1997,BLUE,2.26995,1.99546,-1.11769,0.07476,0.733063333,0.58437
1998,BLUE,2.02391,2.228,-1.12784,0.09901,0.247673333,0.57707
1999,BLUE,1.95936,2.18859,-1.14542,0.08063,0.25692,0.57863
2000,BLUE,1.75999,2.07179,-1.17127,0.08844,0.176516667,0.59451
2001,BLUE,1.51719,1.89569,-1.18875,0.04549,0.17538,0.58938
2002,BLUE,1.63916,1.9059,-1.20831,0.09611,0.251716667,0.59374
2003,BLUE,2.07064,2.28613,-1.22452,0.16922,0.23181,0.60799
2004,BLUE,1.80872,2.00419,-1.2222,0.16664,0.253763333,0.60633
2005,BLUE,1.61132,1.89191,-1.23475,0.13941,0.21697,0.59778
2006,BLUE,1.67772,1.78776,-1.24775,0.13744,0.405143333,0.59514
2007,BLUE,1.47014,1.7983,-1.25016,0.12838,0.192453333,0.60117
2008,BLUE,1.57055,1.83393,-1.24733,0.17706,0.212056667,0.59482
2009,BLUE,1.69152,1.89198,-1.25868,0.16663,0.310886667,0.58071
2010,BLUE,1.7101,1.93489,-1.32386,0.249,0.264733333,0.58535
2011,BLUE,1.62924,1.88014,-1.32279,0.22424,0.259703333,0.58794
2012,BLUE,1.761,1.94347,-1.31135,0.20249,0.32565,0.60075
2013,BLUE,1.62076,1.86332,-1.31542,0.19754,0.258346667,0.61697
2014,BLUE,1.65909,1.88223,-1.34036,0.19243,0.342606667,0.58217
2015,BLUE,1.68657,1.80289,-1.33779,0.1621,0.45436,0.60502
2016,BLUE,1.39499,1.72469,-1.35046,0.15964,0.22248,0.63864
2017,BLUE,1.39082,1.76763,-1.3583,0.15088,0.19975,0.63086
2018,BLUE,1.24546,1.6319,-1.35126,0.08792,0.21432,0.66259
2019,BLUE,1.20354,1.53458,-1.356,0.09874,0.253033333,0.67319
2020,BLUE,1.07108,1.49241,-1.35834,0.07352,0.189006667,0.67449
2021,BLUE,1.12367,1.54909,-1.35697,0.07845,0.174823333,0.67828
2022,BLUE,1.10967,1.51064,-1.35563,0.07896,0.198096667,0.67762
2023,BLUE,1.12209,1.49858,-1.35419,0.07906,0.22523,0.67341
1959,HC2023,1.10764,1.26834,-0.56146,0.38164,0.231126667,-0.21201
1960,HC2023,1.08925,1.30442,-0.56933,0.39232,0.179176667,-0.21733
1961,HC2023,1.15179,1.32358,-0.57741,0.40476,0.22312,-0.22226
1962,HC2023,1.08912,1.34388,-0.58523,0.40387,0.154353333,-0.22776
1963,HC2023,1.08042,1.34396,-0.5928,0.39987,0.16246,-0.23307
1964,HC2023,1.03407,1.34277,-0.60028,0.37418,0.1523,-0.2349
1965,HC2023,0.98532,1.31266,-0.60748,0.35438,0.15999,-0.23423
1966,HC2023,0.91519,1.29856,-0.61455,0.32133,0.14294,-0.2331
1967,HC2023,0.90824,1.27592,-0.62137,0.32303,0.161056667,-0.23039
1968,HC2023,0.85868,1.26364,-0.62722,0.29323,0.157986667,-0.22896
1969,HC2023,0.87187,1.27356,-0.63368,0.28884,0.170273333,-0.22712
1970,HC2023,0.89473,1.27402,-0.63984,0.27956,0.207893333,-0.22691
1971,HC2023,0.80478,1.27134,-0.64659,0.26948,0.13318,-0.22263
1972,HC2023,0.79867,1.2606,-0.6524,0.2497,0.161506667,-0.22074
1973,HC2023,0.76355,1.25641,-0.65851,0.22387,0.159256667,-0.21747
1974,HC2023,0.73186,1.24412,-0.66411,0.21947,0.147256667,-0.21487
1975,HC2023,0.71829,1.25057,-0.66954,0.2104,0.138063333,-0.2112
1976,HC2023,0.7331,1.24341,-0.67378,0.20551,0.170613333,-0.21264
1977,HC2023,0.7197,1.22811,-0.67867,0.20054,0.17572,-0.206
1978,HC2023,0.69959,1.21034,-0.68387,0.20395,0.173076667,-0.2039
1979,HC2023,0.60793,1.19712,-0.68986,0.17797,0.121966667,-0.19926
1980,HC2023,0.64941,1.19364,-0.69622,0.15836,0.185916667,-0.19229
1981,HC2023,0.61909,1.21056,-0.70274,0.13966,0.160276667,-0.18867
1982,HC2023,0.60979,1.22828,-0.70966,0.13679,0.142863333,-0.18848
1983,HC2023,0.63977,1.25781,-0.71572,0.12838,0.155423333,-0.18613
1984,HC2023,0.77326,1.29192,-0.72072,0.16167,0.22832,-0.18794
1985,HC2023,0.77696,1.28342,-0.72505,0.17829,0.223606667,-0.1833
1986,HC2023,0.80984,1.29752,-0.73032,0.19494,0.23047,-0.18277
1987,HC2023,0.84297,1.34738,-0.73632,0.19005,0.217646667,-0.17579
1988,HC2023,0.8347,1.35862,-0.74386,0.17337,0.21851,-0.17194
1989,HC2023,0.78984,1.34941,-0.75311,0.14705,0.20605,-0.15956
1990,HC2023,0.83771,1.42007,-0.76715,0.1335,0.204536667,-0.15325
1991,HC2023,0.90071,1.51427,-0.78192,0.12066,0.18962,-0.14193
1992,HC2023,0.99803,1.59894,-0.79784,0.10135,0.23222,-0.13664
1993,HC2023,0.99568,1.67954,-0.81412,0.08463,0.180136667,-0.13451
1994,HC2023,1.10152,1.76499,-0.83076,0.05495,0.251556667,-0.13922
1995,HC2023,1.03555,1.7783,-0.84586,0.02751,0.208733333,-0.13314
1996,HC2023,1.17561,1.8148,-0.85999,0.0019,0.343713333,-0.12483
1997,HC2023,1.57403,1.84014,-0.87511,-0.00681,0.733063333,-0.11726
1998,HC2023,1.08407,1.85699,-0.88972,-0.02768,0.247673333,-0.10319
1999,HC2023,1.06824,1.84722,-0.90391,-0.03562,0.25692,-0.09637
2000,HC2023,0.91506,1.79601,-0.91712,-0.05522,0.176516667,-0.08513
2001,HC2023,0.8802,1.76582,-0.92987,-0.05391,0.17538,-0.07722
2002,HC2023,0.9058,1.72231,-0.94153,-0.05466,0.251716667,-0.07203
2003,HC2023,0.83316,1.67125,-0.95127,-0.04442,0.23181,-0.0742
2004,HC2023,0.82864,1.655,-0.96051,-0.05108,0.253763333,-0.06854
2005,HC2023,0.78391,1.65178,-0.97046,-0.04864,0.21697,-0.06575
2006,HC2023,0.9858,1.66635,-0.97965,-0.03941,0.405143333,-0.06663
2007,HC2023,0.78817,1.68004,-0.98811,-0.03384,0.192453333,-0.06237
2008,HC2023,0.83994,1.69223,-0.99666,-0.00593,0.212056667,-0.06175
2009,HC2023,0.98353,1.72235,-1.00441,0.01842,0.310886667,-0.06372
2010,HC2023,0.99279,1.74942,-1.01212,0.06188,0.264733333,-0.07112
2011,HC2023,0.96027,1.74177,-1.01771,0.04416,0.259703333,-0.06764
